id,beta
2314069549,-0.35566391099266004
2348562834,-0.36174395289217204
1220949745,-0.3568709456876745
2711334625,-0.34842217879438353
1930314277,-0.3643582035486998
420240364,-0.3497921442123368
789795997224472576,-0.3523386790424001
405754913,-0.3614154682533538
1026596484,-0.3509645340959079
4898796275,-0.3624212098462071
2793816121,-0.36291807470934373
1570623127,-0.3499387761888896
212510822,-0.35659130035100217
884339550423744512,-0.3564237183990093
46498609,-0.3536445579330848
2570432633,-0.35323295689070006
752554118137380864,-0.3553677199286412
706472464314929152,-0.3556485764193062
422498000,-0.3571933022952758
497842763,-0.3497966030995558
897075134351257600,-0.35387562581744747
27487280,-0.3553336352706691
4892797133,-0.3371537633321924
716657849707970561,-0.35509559736639607
3350382053,-0.355050567866678
2872930061,-0.35882363810280027
1623926822,-0.3636457967116562
804745288674066432,-0.3521547761189684
783293272206766080,-0.36259031161509575
89168362,-0.3530334692367132
4501192761,-0.3571066098494743
894925529396150275,-0.35329360584751557
452116326,-0.3554030146494077
884475430564229122,-0.3596147977842538
2525163440,-0.35069034408427385
196068744,-0.3573012564999309
2976187055,-0.3548034324823792
2796083400,-0.3577555958527805
359050809,-0.3583202222809224
1001705666,-0.3562739815895804
893057087806242817,-0.3518968256367322
809446038901813248,-0.35996127728055377
813449923115057152,-0.3578345556634283
881899074307465218,-0.3470279574024906
1109531042,-0.35032019828835403
884863555752873985,-0.3578128780327527
885873665841270784,-0.3514168278931215
843546356224577536,-0.3559209719994079
810591493597630464,-0.3571230288145681
2855190142,-0.3555218930138153
3362092690,-0.3566162363182998
2812769034,-0.3495727567018619
428975778,-0.36170241600209657
890825221883789313,-0.35830050154248977
864415461072658432,-0.35402627121470187
862952634164154368,-0.35631722833227164
4877760010,-0.3512388374560013
258844830,-0.3598148920827398
330531602,-0.3503518250250313
811566229232160768,-0.3451265792816157
827077278555308032,-0.36102228755992694
4703932393,-0.3439379407709781
835149861267849217,-0.35994823459858843
4045291097,-0.3522985481558305
875423664510038016,-0.3600937737595784
591273006,-0.3592801142860303
471076259,-0.34995317843970875
278458528,-0.36718946343869635
815162796627337216,-0.3526244888217727
861912909961736193,-0.35417963300270044
1341729894,-0.36489475954927136
1020561428,-0.3617734470378132
526244411,-0.35481940207333285
401964696,-0.3447336810089839
2876572859,-0.35304873386364466
385936191,-0.35228185547072555
111361937,-0.35919970319662786
791670125992763392,-0.35685590461440503
2975265069,-0.3439902590570437
755864834,-0.3624036482763358
83605105,-0.360185388782923
863720686824632320,-0.3549836033858326
13202832,-0.35374165238709027
750638271714263041,-0.3522425923012321
889759349450604544,-0.3564212610749678
858356610267316224,-0.35070487924114163
444724911,-0.35163843146365514
1907513376,-0.3502722362423493
886912669973925888,-0.3554906577348256
2547197223,-0.3514714098584549
